name,artists,genre,emotion_final_adjusted
'90s Feel,['Jay Dutch'],,Aşk
'92 Subaru,Fountains Of Wayne,power pop,Enerji
'93,['Youngr'],,Mutluluk
'93,['Housecall'],,Mutluluk
'93 Heap,['Thin Lear'],baroque pop,Üzüntü
'93: Me and Fred and Dave and Ted,['The Magnetic Fields'],anti-folk,Mutluluk
'94 Till Infinity,['Selldretti'],,Aşk
'95 Tonight,['The Brand New Heavies'],acid jazz,Enerji
'95 aka Make Things Right,Lemon Jelly,downtempo,Aşk
'95 aka Make Things Right,Lemon Jelly,downtempo,Aşk
'96 Flow,['Trajik'],crunk,Üzüntü
'96 Neve Campbell,"['clipping.', 'Cam & China']",experimental hip hop,Aşk
'97,Femi Kuti,afrobeat,Aşk
'97 Hov,['Benny The Butcher'],boom bap,Mutluluk
'98 Freestyle,['Big L'],east coast hip hop,Mutluluk
'98 To Piano,Forze DJ Team,gabber,Enerji
'98 To Piano,Forze DJ Team,gabber,Enerji
'99 Benz,A Story Told,,Mutluluk
'A' Bomb In Wardour Street,['The Jam'],punk,Üzüntü
"'B' Movie (Intro, Poem, Song)",['Gil Scott-Heron'],spoken word,Üzüntü
'Bout It,JMSN,alternative r&b,Üzüntü
'Bout It (feat. 3LW),"['Yung Joc', '3LW']",crunk,Aşk
'Bout It (feat. Daniel James & Benjamin O),"['Jeremy Zucker', 'Daniel James ', 'Benjamin O']",,Enerji
'Bout That Time,['Large Professor'],jazz rap,Aşk
'Bout Time,['Louis Armstrong'],jazz,Mutluluk
'Cause Cheap Is How I Feel,['Cowboy Junkies'],alt country,Aşk
'Cause Cheap Is How I Feel,Cowboy Junkies,alt country,Aşk
'Cause Cheap Is How I Feel - Live,['Cowboy Junkies'],alt country,Aşk
'Cause I Love You,['Lenny Williams'],quiet storm,Aşk
'Cause I Love You,['Johnny Cash'],classic country,Mutluluk
'Cause I Love You,['Johnny Cash'],classic country,Mutluluk
'Cause I Love You,['Carla Thomas'],,Aşk
'Cause I Sez So,New York Dolls,proto-punk,Aşk
'Cause I'm A Man,['Tame Impala'],neo-psychedelic,Aşk
'Cause I'm a Liar (Kokichi Oma fan song),['Mcki Robyns-P'],vocaloid,Aşk
'Cause It's Love (Saint Parallelogram),"['Robyn Hitchcock', 'The Venus 3']",neo-psychedelic,Aşk
'Cause Of You,"['Secret Garden', 'Cathrine Iversen', 'Espen Grjotheim']",new age,Aşk
'Cause of You,['Ricardo Ignacio'],,Üzüntü
'Cello Song,Nick Drake,folk,Üzüntü
'Cept You & Me Babe,Greg Brown,americana,Aşk
'Cross The Room,['Monica'],r&b,Mutluluk
'Cross the Breeze (Album Version),['Sonic Youth'],noise rock,Üzüntü
'Cross the Breeze (Album Version),['Sonic Youth'],noise rock,Üzüntü
'Cross the Breeze (Live),['Sonic Youth'],noise rock,Üzüntü
'Cross the Green Mountain - from 'Gods and Generals' OST,['Bob Dylan'],folk rock,Üzüntü
'Cuz I Can,['P!nk'],,Enerji
'Cuz I'm Here,Ruthie Foster,blues,Aşk
'Deed I Do,"['Les Paul', 'Mary Ford']",,Üzüntü
'Deed I Do,['Billie Holiday'],jazz,Aşk
'Deed I Do,['Ella Fitzgerald'],vocal jazz,Aşk
'Deed I Do,['Peggy Lee'],vocal jazz,Mutluluk
'Deed I Do,Blossom Dearie,french jazz,Aşk
'Deed I Do,['Blossom Dearie'],french jazz,Aşk
'Deed I Do,Lena Horne,vocal jazz,Aşk
'Deed I Do,['Peggy Lee'],vocal jazz,Aşk
'Deed I Do,['Rosemary Clooney'],vocal jazz,Mutluluk
'Deed I Do - Remastered 1993,['Nat King Cole Trio'],vocal jazz,Mutluluk
'Dozer Rage,['Latterman'],melodic hardcore,Aşk
'Flawless' Do It Well Pt. 3 (feat. Summer Walker),"['dvsn', 'Summer Walker']",trap soul,Aşk
'Frisco Depot,['Mickey Newbury'],outlaw country,Üzüntü
'Frisco Town,Memphis Minnie,blues,Mutluluk
'Ho Stopper,Afroman,,Mutluluk
'Hop Stomp',When Chai Met Toast,indian indie,Enerji
"'Ille Dhuinn, 'S Toigh Leam Thu",['Julie Fowlis'],celtic,Üzüntü
'Lectric Lover,['Hunter Revenge'],,Mutluluk
'Merican,['Descendents'],punk,Aşk
'Minecraft' ft. Peter & Evynne Hollens,"['Peter Hollens', 'Evynne Hollens']",,Aşk
'Neath A Cold Gray Tomb Of Stone,Hank Williams,classic country,Üzüntü
'Need Your Love,['Hobbit'],thai rock,Aşk
'O sole mio - Live in Matera,Il Volo,opera,Aşk
'Roni Got Me Stressed Out,['Chromeo'],nu disco,Mutluluk
'Round And 'Round (Merry Go 'Round Of Love),Guy,new jack swing,Aşk
'Round Here,['Sawyer Brown'],classic country,Mutluluk
'Round Here,"['Shing02', 'Jack The Rip']",j-rap,Enerji
'Round Midnight,['Sun Ra'],free jazz,Aşk
'Round Midnight,['Thelonious Monk'],jazz,Aşk
'Round Midnight,['Sun Ra'],free jazz,Aşk
'Round Midnight,Karrin Allyson,vocal jazz,Aşk
'Round Midnight,Amy Winehouse,,Üzüntü
'Round Midnight,['Betty Carter'],vocal jazz,Aşk
'Round Midnight,['Julie London'],vocal jazz,Aşk
'Round Midnight,['Big Sugar'],,Aşk
'Round Midnight,['Kenny Rankin'],,Aşk
'Round Midnight,"['Adam Blackstone', 'Jazmine Sullivan']",vocal jazz,Üzüntü
'Round Midnight - Alternative Version,['Carmen McRae'],vocal jazz,Aşk
"'Round Midnight - Live At The Five Spot / July 9, 1958",['Thelonious Monk Quartet'],jazz,Aşk
'Round Midnight - Remastered 2001,['Carmen McRae'],vocal jazz,Aşk
'Round Midnight - Take 2,['Thelonious Monk'],jazz,Aşk
'Round Midnight - Take 2,['Thelonious Monk'],jazz,Aşk
'Round Midnight - Take 2,['Thelonious Monk'],jazz,Aşk
'Round and 'Round,Dear Nora,anti-folk,Mutluluk
'S Wonderful,Christine Ebersole,musicals,Üzüntü
'S Wonderful,['John Pizzarelli'],vocal jazz,Aşk
'S Wonderful,['João Gilberto'],bossa nova,Aşk
'S Wonderful,['Sarah Vaughan'],vocal jazz,Aşk
'S Wonderful,['Frank Sinatra'],christmas,Aşk
'S Wonderful,['Les Brown'],big band,Aşk
'S Wonderful,['Fred Astaire'],big band,Sakinlik
'S Wonderful,['Artie Shaw'],big band,Aşk
'S Wonderful,['Diana Krall'],vocal jazz,Aşk
'S Wonderful,['João Gilberto'],bossa nova,Aşk
'S Wonderful,"['Gene Kelly', 'Georges Guétary']",musicals,Aşk
'S Wonderful,['Ella Fitzgerald'],vocal jazz,Üzüntü
'S Wonderful,Tony Bennett,vocal jazz,Sakinlik
'S Wonderful,Brandon Uranowitz,musicals,Üzüntü
'S Wonderful,"['Gene Kelly', 'Georges Guétary']",musicals,Aşk
'S Wonderful,"['Fred Astaire', 'Audrey Hepburn']",big band,Üzüntü
'S Wonderful,['Julie London'],vocal jazz,Sakinlik
'S Wonderful (Bonus Track),Kat Edmonson,vocal jazz,Aşk
'S Wonderful (feat. Dave Grusin),"['Rod Stewart', 'Dave Grusin']",soft rock,Üzüntü
'S Wonderful - Re-Recording,['The BBC Big Band Orchestra'],big band,Aşk
'S Wonderful - Reprise; Outtake,['Gene Kelly'],musicals,Sakinlik
'S Wonderful / They Can't Take That Away From Me,"[""Anita O'Day""]",vocal jazz,Aşk
'S Wonderful / They Can't Take That Away From Me,Anita O'Day,vocal jazz,Sakinlik
"'Scuse Me, Miss Rose",['The West Coast Pop Art Experimental Band'],psychedelic rock,Mutluluk
'Song',German Error Message,slowcore,Üzüntü
'Sons of Scotland' [Braveheart - Original Sound Track],Mel Gibson,soundtrack,Üzüntü
"'Stor, A Stor, A Ghra",Altan,celtic,Mutluluk
'Swonderful,"['Lee Wiley', 'Billy Butterfield', 'Joe Bushkin', 'Mort Stuhlmaker', 'George Wettling']",vocal jazz,Aşk
'T Ain't What You Do,['Jimmie Lunceford'],swing music,Mutluluk
'T',['Rubella Ballet'],deathrock,Üzüntü
'Tain't Nobody's Biz'ness If I Do,['Jay McShann'],blues,Üzüntü
'Tain't Nobody's Biz-Ness If I Do,['Fats Waller'],swing music,Mutluluk
'Tain't Nobody's Biz-ness If I Do,"['Lou Rawls', 'Les McCann Ltd.']",philly soul,Aşk
'Tain't Nobody's Bizness If I Do,['Bessie Smith'],classic blues,Üzüntü
'Tain't What You Do,['Swing Republic'],electro swing,Enerji
'Taint Nobody's Bizness If I Do,Fats Waller,swing music,Mutluluk
'The Anatomy of a Nervous Breakdown': On the Sideline,ReVamp,symphonic metal,Aşk
'The Anatomy of a Nervous Breakdown': The Limbic System,ReVamp,symphonic metal,Aşk
'Til All The Lonely's Gone,['Pam Tillis'],classic country,Enerji
'Til Dawn,Nu:Tone,liquid funk,Mutluluk
'Til Death,Obituary,death metal,Üzüntü
'Til Death (Live),['Obituary'],death metal,Üzüntü
'Til Death Do Us Part,['Dolly Parton'],country,Üzüntü
'Til Him,"['Various Artists', 'Mel Brooks']",,Üzüntü
'Til Him,Nathan Lane;Matthew Broderick;The Producers Ensemble,,Üzüntü
'Til I Can Make It On My Own,['Martina McBride'],country,Üzüntü
'Til I Can Make It On My Own,['Tammy Wynette'],classic country,Üzüntü
'Til I Can Make It On My Own,['Martina McBride'],country,Üzüntü
'Til I Can Make It On My Own,"['Kenny Rogers', 'Dottie West']",country,Üzüntü
'Til I Can Make It On My Own,['Tammy Wynette'],classic country,Üzüntü
'Til I Can Make It On My Own,['Billy Gilman'],,Üzüntü
'Til I Can Make It On My Own - Single Version,['Tammy Wynette'],classic country,Üzüntü
'Til I Can Make It on My Own,Tammy Wynette,classic country,Üzüntü
'Til I Can't Take It Anymore,['Charlie Rich'],classic country,Aşk
'Til I Die,The Beach Boys,baroque pop,Üzüntü
'Til I Die - Remastered 2009,['The Beach Boys'],baroque pop,Üzüntü
'Til I Fell in Love with You - 2022 Remix,Bob Dylan,folk rock,Aşk
"'Til I Fell in Love with You - Live in Buenos Aires, Argentina - April 5, 1998",Bob Dylan,folk rock,Aşk
'Til I Fell in Love with You - Version 1,Bob Dylan,folk rock,Üzüntü
'Til I Fell in Love with You - Version 2,Bob Dylan,folk rock,Aşk
'Til I Fell in Love with You - Version 3,Bob Dylan,folk rock,Aşk
'Til I Find You,['Dean Martin'],christmas,Aşk
'Til I Found You,['Freestyle'],opm,Üzüntü
'Til I Gain Control Again (Interview),['Rodney Crowell'],americana,Sakinlik
'Til I Get It Right,['Tammy Wynette'],classic country,Aşk
'Til I Get It Right,"['John Doe', 'The Sadies']",alt country,Aşk
'Til I Get It Right,Tammy Wynette,classic country,Aşk
'Til I Get Over You,Michelle Branch,,Üzüntü
'Til I Hurt You,['Larry Carlton'],smooth jazz,Aşk
'Til I Hurt You,['Larry Carlton'],smooth jazz,Aşk
'Til I Hurt You,['Larry Carlton'],smooth jazz,Aşk
'Til I Hurt You,['Larry Carlton'],smooth jazz,Aşk
'Til I Loved You,['Restless Heart'],classic country,Aşk
'Til I Met Thee - Radio Edit,Cody Chesnutt,neo soul,Mutluluk
'Til I Reach Home,['Robin Trower'],blues rock,Aşk
'Til I Say So,['3LW'],,Enerji
'Til I See You - Live,Hillsong UNITED,worship,Aşk
'Til I'm Done,['Paloma Faith'],,Enerji
'Til I'm Laid To Rest,['Buju Banton'],reggae,Enerji
'Til I'm Laid To Rest,Buju Banton,reggae,Enerji
'Til It Does,"['Randy Rogers', 'Wade Bowen']",texas country,Aşk
'Til It Runs Dry,['Holly Williams'],americana,Üzüntü
'Til It's Over,The Secret Sisters,southern gothic,Üzüntü
'Til Love Comes Again,Reba McEntire,country,Aşk
'Til My Baby Comes Home,Luther Vandross,quiet storm,Aşk
'Til My Baby Comes Home,['Luther Vandross'],quiet storm,Aşk
'Til My Baby Comes Home,Fantasia,r&b,Aşk
'Til My Back Ain't Got No Bone,['Albert King'],blues,Mutluluk
'Til Nothing Comes Between Us,John Michael Montgomery,country,Üzüntü
'Til Summer Comes Around,['Keith Urban'],country,Enerji
'Til Sunrise,Jon Langston,country,Aşk
'Til The Anarchy's Restored,Flogging Molly,celtic punk,Üzüntü
'Til The Bars Burn Down,['JD Souther'],country rock,Enerji
'Til The Dawn,['Drew Sidora'],,Aşk
'Til The Dawn (feat. Suga Free & Bosko),"['E-40', 'Suga Free', 'Bosko']",hyphy,Mutluluk
'Til The Day After,Emitt Rhodes,baroque pop,Üzüntü
'Til The Day I Die,['Third Day'],christian,Aşk
'Til The Early Morning,['Vic Ruggiero'],ska,Aşk
'Til The End,Jeremy Camp,christian,Mutluluk
'Til The End Of Time,The Damned,punk,Üzüntü
'Til The Heartache's Gone,Diamond Rio,classic country,Üzüntü
'Til The Joint Rolled,Boogie T,riddim,Enerji
'Til The Joint Rolled,Boogie T,riddim,Enerji
'Til The Lights Go Out,['Hellbound Glory'],outlaw country,Enerji
'Til The Morning,Keith Sweat,new jack swing,Enerji
'Til The Season Comes 'Round Again,['Kenny Rogers'],country,Aşk
'Til The Storm Passes By,['Gaither Vocal Band'],southern gospel,Üzüntü
'Til These Dreams Come True,['Buck Owens'],classic country,Mutluluk
'Til They Take My Heart Away,['Clair Marlo'],,Aşk
'Til Tomorrow,['Marvin Gaye'],motown,Aşk
'Til Tomorrow,['Marvin Gaye'],motown,Aşk
'Til We Die,['Slipknot'],nu metal,Savaş
'Til You And Your Lover Are Lovers Again,['Engelbert Humperdinck'],,Aşk
'Til You Can't,Cody Johnson,texas country,Aşk
'Til You Can't,Cody Johnson,texas country,Aşk
'Til You Can't,Cody Johnson,texas country,Aşk
'Til You Can't,Cody Johnson,texas country,Aşk
'Til You Can't,['Cody Johnson'],texas country,Aşk
'Til You Can't,Cody Johnson,texas country,Aşk
'Til You Can't,Cody Johnson,texas country,Aşk
'Til You Come By Here,['Fruition'],newgrass,Aşk
'Til You Do Me Right,After 7,new jack swing,Aşk
'Til You Do Me Right,['After 7'],new jack swing,Aşk
'Til You're Mine,['Alexandra Savior'],,Mutluluk
'Til Your Fool Comes Home,James Hunter,retro soul,Mutluluk
'Til a Tear Becomes a Rose,"['Lorrie Morgan', 'Keith Whitley']",classic country,Aşk
'Til a Tear Becomes a Rose,"['Lorrie Morgan', 'Keith Whitley']",classic country,Aşk
'Til a Woman Comes Along,['Chris Janson'],country,Enerji
'Til the City's On Fire,311,reggae rock,Aşk
'Til the Cows Come Home,['Prefab Sprout'],,Üzüntü
'Til the Cows Come Home,['Prefab Sprout'],,Üzüntü
'Til the Last Drop of Blood,['Theatres Des Vampires'],gothic metal,Üzüntü
'Til the Meat Falls off the Bone,Nashville Pussy,psychobilly,Aşk
'Til the Next (eyes),Esperanza Spalding,vocal jazz,Üzüntü
'Til the Pigs Come Round,['Subhumans'],punk,Üzüntü
'Till Forever,['Labi Siffre'],,Aşk
'Till I Can Walk,['From Indian Lakes'],,Üzüntü
'Till I Get There,['Lupe Fiasco'],,Mutluluk
'Till I Get You Back,['Hobbit'],thai rock,Enerji
'Till Kingdom Come,Dead Meadow,stoner rock,Üzüntü
'Till The Rivers All Run Dry,['Don Williams'],classic country,Üzüntü
'Till The Rivers All Run Dry,Don Williams,classic country,Aşk
'Till There Was You,['Rod Stewart'],soft rock,Üzüntü
'Till the Death of Me,['blessthefall'],metalcore,Üzüntü
'Till the Morning Comes,Roberta Flack,adult standards,Mutluluk
'Tis Autumn,['Nat King Cole Trio'],vocal jazz,Üzüntü
'Tis Autumn,"['Stacey Kent', 'David Newton', 'Jim Tomlinson', 'Dave Chamberlain', 'Matt Home']",french jazz,Üzüntü
"'Tis Harry I'm Plannin' to Marry (From ""Calamity Jane"")",['Doris Day with Orchestra & Vocal Quartet'],adult standards,Mutluluk
'Tis So Sweet,['Shea Norman'],gospel r&b,Üzüntü
'Tis So Sweet,['Hawk Nelson'],christian rock,Üzüntü
'Tis So Sweet,Jim Brickman,new age,Mutluluk
'Tis So Sweet,Commissioned,gospel,Üzüntü
'Tis So Sweet To Trust In Jesus,['Matthew Smith'],christian folk,Aşk
'Tis So Sweet To Trust In Jesus,['Alan Jackson'],country,Sakinlik
'Tis So Sweet To Trust In Jesus,['Phillip Keveren & Anthony LaMarchina'],,Mutluluk
'Tis So Sweet To Trust In Jesus,The Martins,southern gospel,Mutluluk
'Tis So Sweet To Trust In Jesus,['Casting Crowns'],christian,Sakinlik
'Tis a Pity She Was a Whore,['David Bowie'],glam rock,Aşk
'Tis so Sweet,['Gordon Mote'],southern gospel,Üzüntü
'Tis so Sweet to Trust in Jesus,Mark Trammell Quartet,southern gospel,Üzüntü
'Tis the Season,Mary Mary,gospel,Mutluluk
'Twas The Night Before Christmas,['Aretha Franklin'],soul,Üzüntü
'Twas The Night Before Christmas,Aretha Franklin,soul,Aşk
'Twas the Night After Christmas,Jeff Foxworthy,comedy,Aşk
'Twas the Night Before Christmas,['Sing n Play'],children's music,Üzüntü
'Twas the Night Before Christmas,['Sarantos'],,Üzüntü
"'Zat You, Santa Claus?",['The Muppets'],,Aşk
"'Zat You, Santa Claus? - Single Version","['Ella Fitzgerald', 'Louis Armstrong']",jazz,Mutluluk
"'Zat You, Santa Claus? - Single Version",Louis Armstrong;The Commanders,jazz,Mutluluk
"'Zat You, Santa Claus? - Single Version",Louis Armstrong;The Commanders,jazz,Mutluluk
"'Zat You, Santa Claus? - Single Version",Louis Armstrong;The Commanders,jazz,Mutluluk
"'Zat You, Santa Claus? - Single Version",Louis Armstrong;The Commanders,jazz,Mutluluk
"'Zat You, Santa Claus? - Single Version",Louis Armstrong,jazz,Mutluluk
"'Zat You, Santa Claus? - Single Version",['Louis Armstrong'],jazz,Mutluluk
"'Zat You, Santa Claus? - Single Version",Louis Armstrong;The Commanders,jazz,Mutluluk
"'Zat You, Santa Claus? - Single Version",Louis Armstrong;The Commanders,jazz,Mutluluk
's Wonderful,['Stacey Kent'],french jazz,Üzüntü
's Wonderful,['Stacey Kent'],french jazz,Üzüntü
'sblood,['Inter Arma'],sludge metal,Üzüntü
'sí Do Mhaimeo í,"['Michael McGlynn', 'Anúna']",celtic,Üzüntü
'tain't What You Do,['Annie Ross'],vocal jazz,Aşk
'til Death Do Us Part,The Creepshow,psychobilly,Üzüntü
'til My Mojo Works,The Peawees,power pop,Mutluluk
'til The End Of The World Rolls 'round,['Old & In The Way'],bluegrass,Aşk
'twas in the Moon of Wintertime(the Huron Christmas Carol),Jesse Brown,neoclassical,Mutluluk
"'zat You, Santa Claus?",['Abney Park'],,Aşk
( Diamond ),Jonny Craig,post-hardcore,Üzüntü
( What A) Wonderful World,"[""Herman's Hermits""]",,Enerji
('Til) I Kissed You,['The Everly Brothers'],doo-wop,Mutluluk
('Til) I Kissed You,The Everly Brothers,doo-wop,Aşk
('Til) I Kissed You - (Single Version) [Remastered 2006],The Everly Brothers,doo-wop,Mutluluk
"('Til) I Kissed You - Live at the Grand Hotel, Anaheim, CA, February 6, 1970",['The Everly Brothers'],doo-wop,Aşk
(((louds,He Is Legend,post-hardcore,Üzüntü
(-),['Crippled Black Phoenix'],post-rock,Üzüntü
(---) Pt. 3,['Swans'],noise rock,Mutluluk
(---) Pt. 4,['Swans'],noise rock,Üzüntü
(......棕髮少女)(feat. 小野麗莎),吳青峰;Lisa Ono,mandopop,Üzüntü
(2 Lakes),['Mount Eerie'],slowcore,Mutluluk
(2 Moons),['Mount Eerie'],slowcore,Sakinlik
(2 Mountains),['Mount Eerie'],slowcore,Aşk
(301)341-7207,dreamcastmoe,,Enerji
-333,['selki girl'],,Üzüntü
"(515) - Live in London, 2002",Slipknot,nu metal,Aşk
(562) 453-9382 - Skit,Vince Staples,,Mutluluk
(773) 509-8000,['Binary'],screamo,Aşk
(A Bit of a) Birthday,Heavy Lungs,post-punk,Aşk
(A Departure of the Sun) Ignite the Tesla Coil,Decrepit Birth,death metal,Üzüntü
(A Man's Gotta Know His Limitations) Briggs,"['Robyn Hitchcock', 'The Venus 3']",neo-psychedelic,Üzüntü
(A Place To) Hide Away,['Carpenters'],christmas,Üzüntü
(A Rhyme) This Time,['Al Jarreau'],yacht rock,Üzüntü
(A Shimmering Radiance) Diadem of 12 Stars,['Wolves In The Throne Room'],black metal,Üzüntü
(A Treatise on the Practical Methods Whereby One Can) Worship the Lords,Lords Of Acid,industrial,Üzüntü
(A)tension,Versus Me,metalcore,Aşk
"(Ah, the Apple Trees) When the World Was Young",['Aretha Franklin'],soul,Üzüntü
(Ain't Nothin' but A) House Party,['The J. Geils Band'],classic rock,Aşk
(Ain't Nothin' but A) House Party,['The J. Geils Band'],classic rock,Aşk
(Ain't Nothin' but A) House Party - Live,['The J. Geils Band'],classic rock,Aşk
(Ain't That) Good News,['Sam Cooke'],motown,Mutluluk
(Ain't That) Good News,['Sam Cooke'],motown,Mutluluk
(Ain't That) Good News,The Supremes,motown,Mutluluk
(Ain't That) Good News,['Sam Cooke'],motown,Mutluluk
(Ain't That) Good News,['Sam Cooke'],motown,Mutluluk
(Ain't That) Just Like Me,The Coasters,doo-wop,Mutluluk
(All Afternoon) In Love,['The Vaccines'],indie,Aşk
(All Hopes of a New Day)...Extinguished,['Lord Dying'],sludge metal,Aşk
(All I Can Do Is) Dream You,['Roy Orbison'],rockabilly,Mutluluk
(All I Can Do Is) Dream You - Live,Roy Orbison,rockabilly,Enerji
(All Of A Sudden) My Heart Sings,['Paul Anka'],adult standards,Aşk
(Ambient) Raspberry Swirl (Scarlet Spectrum Feels Version),['Tori Amos'],singer-songwriter,Üzüntü
(An Ode To A) Silent Lover,['Dark Project'],indian indie,Üzüntü
(Ana Bekoach) אנא בכוח,['Various Artists'],,Üzüntü
(And She Said) Take Me Now,['Justin Timberlake'],,Mutluluk
(Angel On My Mind) That's Why I'm Walkin',['Ricky Skaggs'],bluegrass,Aşk
(Another Song) All Over Again,['Justin Timberlake'],,Üzüntü
(Another Song) All Over Again,Justin Timberlake,,Üzüntü
(Another) 251,['Mustard Service'],,Üzüntü
(Antichrist Television Blues),['Arcade Fire'],baroque pop,Mutluluk
(Anything) You Choose,Sherwood,pop punk,Aşk
(Are You Ready) Do the Bus Stop,['Fatback Band'],funk,Mutluluk
(Are You Ready) Do the Bus Stop - Joey Negro London Bus Stop Mix,Fatback Band,funk,Mutluluk
(Are You) Happy?,['Reagan Youth'],hardcore punk,Aşk
(Are we not drawn onward to) NEW ERA,Destroy Rebuild Until God Shows,post-hardcore,Aşk
(Arrival),['Nico & Vinz'],,Üzüntü
(At Your Best) You Are Love,['The Isley Brothers'],motown,Aşk
(At Your Best) You Are Love,['The Isley Brothers'],motown,Aşk
(B) The Decade Of Statues,Between The Buried And Me,progressive metal,Üzüntü
(B) The Decade Of Statues - 2020 Remix / Remaster,Between The Buried And Me,progressive metal,Üzüntü
(BACK HOME AGAIN IN) INDIANA,['Louis Armstrong'],jazz,Mutluluk
(BALLAD OF) THE HIP DEATH GODDESS,['Ultimate Spinach'],psychedelic rock,Aşk
(Baby I've Got You) On My Mind,['Powderfinger'],,Mutluluk
(Baby Wants To) Tame Me,['Local H'],grunge,Aşk
(Baby) Hold On,['The James Hunter Six'],retro soul,Mutluluk
(Baby) Hold On,The James Hunter Six,retro soul,Mutluluk
(Baby) I want you gone,['Agnes'],swedish pop,Aşk
(Baby) You Got What It Takes,Buddy Guy,blues,Mutluluk
"(Baby, Baby) I Can't Take It No More",Tommy James & The Shondells,,Mutluluk
(Back Home Again In) Indiana,['Louis Armstrong'],jazz,Mutluluk
(Back Home Again in) Indiana - Live,['Louis Armstrong'],jazz,Aşk
(Back To) The Medicine Cabinet,The Bombpops,skate punk,Üzüntü
(Back to the) Heartbreak Kid,['Restless Heart'],classic country,Aşk
(Back to the) Heartbreak Kid,['Restless Heart'],classic country,Aşk
(Beat By) Jealousy,['Heart'],classic rock,Aşk
(Because) It's Christmastime,Chicago,yacht rock,Mutluluk
(Because) It's Christmastime,Chicago,yacht rock,Mutluluk
(BedHead),['Jay Som'],dream pop,Üzüntü
(Believed You Were) Lucky,"[""'Til Tuesday""]",new wave,Enerji
(Bonus Track) So Deep,['Styles P'],east coast hip hop,Aşk
(Bonus) Rolex,RiFF Raff & DOLLABiLLGATES,,Üzüntü
(Bonus) Sid The Kid,"['Deaton Chris Anthony', 'Korbin In Orbit']",,Enerji
(Bonus) Sleepless in Seattle,RiFF Raff & DOLLABiLLGATES,,Enerji
(Break) In Case Of...,Area 11,,Aşk
(Brother Bill) Last Clean Shirt,Gov't Mule,southern rock,Aşk
(But Then) She Spoke,The Vandals,punk,Aşk
(Call On) the Attacker,['Attacker'],speed metal,Aşk
(Can We Be Friends?),['Conan Gray'],,Üzüntü
(Can't Be) Fixed,Spineshank,nu metal,Üzüntü
(Can't Get My) Head Around You,['The Offspring'],punk,Aşk
(Can't Get My) Head Around You,['The Offspring'],punk,Mutluluk
(Can't Live Without Your) Love And Affection,['Various Artists'],glam metal,Aşk
(Can't Live Without Your) Love And Affection,Nelson,glam metal,Aşk
(Can't Live Without Your) Love And Affection - Remastered 2017,['Nelson'],glam metal,Aşk
(Can't Remember) How We Used To Be,ELLEGARDEN,melodic hardcore,Üzüntü
(Can't You) Trip Like I Do,"['Filter', 'The Crystal Method']",industrial rock,Üzüntü
(Can't You) Trip Like I Do,['Various Artists'],industrial rock,Üzüntü
(Can't You) Trip Like I Do,"['Filter', 'The Crystal Method']",industrial rock,Üzüntü
(Can't You) Trip Like I Do - 2009 Remastered Version,Filter,industrial rock,Üzüntü
(Can't) Turn Away From Dying,Crowbar,sludge metal,Üzüntü
(Castle) Numbskull,Iron Chic,punk,Aşk
(Clara) St. Kitts Woman,['Taj Mahal'],blues,Üzüntü
(Closest Thing To) Perfect,Jermaine Jackson,,Enerji
(Coffee's For Closers),['Fall Out Boy'],emo,Üzüntü
(Come 'Round Here) I'm The One You Need,Smokey Robinson & The Miracles,motown,Mutluluk
(Come 'Round Here) I'm The One You Need,['Smokey Robinson & The Miracles'],motown,Mutluluk
(Come 'Round Here) I'm The One You Need,['The Jackson 5'],motown,Aşk
(Come 'Round Here) I'm The One You Need - Album Version / Stereo,Smokey Robinson & The Miracles,motown,Mutluluk
(Come On In) The Whiskey's Fine,Mark Chesnutt,classic country,Aşk
(Compassion) As Skull Fragments On The Wall,Boysetsfire,post-hardcore,Üzüntü
(Crazy for You But) Not That Crazy,['The Magnetic Fields'],anti-folk,Aşk
(Cult)uralist,Whitechapel,deathcore,Üzüntü
(D.J.) Wake Up,['Snoop Dogg'],g-funk,Enerji
(D.J.) Wake Up,['Snoop Dogg'],g-funk,Enerji
(DEAD)WEIGHT,Saltwound,deathcore,Üzüntü
(Damn These) Hungry Times,['Cousteau'],baroque pop,Aşk
(Dance With The) Guitar Man,['Duane Eddy'],surf rock,Enerji
(Dancin’) On A Saturday Night,['Barry Blue'],glam rock,Enerji
(Dandelion),['Imaad Wasif'],stoner rock,Üzüntü
(David Bowie I Love You) Since I Was Six,['The Brian Jonestown Massacre'],neo-psychedelic,Üzüntü
(Dawning of A) New Era - 2002 Remaster,The Specials,ska,Mutluluk
(Dawning of A) New Era - 2015 Remaster,['The Specials'],ska,Mutluluk
"(Dawning of A) New Era - BBC in Concert: Live at Paris Theatre, 15 December 1979",The Specials,ska,Mutluluk
"(Dawning of A) New Era - BBC in Concert: Live at Paris Theatre, 15 December 1979",The Specials,ska,Mutluluk
(Dead But Dreaming) For Her Light,Fields Of The Nephilim,gothic rock,Üzüntü
(Deep) Frozen - 2016 Remaster; Remastered,['Delain'],symphonic metal,Üzüntü
(Did You Ever Get) That Feeling in the Moonlight?,['Helen Forrest with Tennessee Ernie Ford'],,Mutluluk
(Dis)Connected,Betraying The Martyrs,metalcore,Üzüntü
(Do Not) Stand In The Shadows,['Billy Idol'],,Mutluluk
(Do The) Instant Mash,['Joe Jackson'],new wave,Mutluluk
